On day 1, the price is: $11.17
On day 2, the price is: $12.08
On day 3, the price is: $13.38
On day 4, the price is: $13.48
On day 5, the price is: $15.50
On day 6, the price is: $17.71
On day 7, the price is: $20.18
On day 8, the price is: $22.40
On day 9, the price is: $25.82
On day 10, the price is: $29.65
On day 11, the price is: $34.58
On day 12, the price is: $35.45
On day 13, the price is: $36.88
On day 14, the price is: $38.63
On day 15, the price is: $45.32
On day 16, the price is: $51.92
On day 17, the price is: $52.86
On day 18, the price is: $58.90
On day 19, the price is: $67.64
On day 20, the price is: $75.86
On day 21, the price is: $80.02
On day 22, the price is: $90.30
On day 23, the price is: $100.50
